time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-11-04 04:00:00+00:00,-59.255,8.572,,Point,35.72,1003.6,ISVP6,547.6135558287395,445.5982721710845,706.0017186163586,3600.0,0.19611158850454408,0.1521148766190943,0.12377729782530125,23.651698540229475,12.967022423116854,26.973070169328302
2019-11-04 05:00:00+00:00,-59.2514,8.5812,,Point,35.73,1004.5,ISVP6,524.8578192369387,401.0382090944358,660.535673198524,3600.0,0.18348213144403444,0.1457938386769274,0.11139950252623217,24.174763191991048,13.368060632211144,27.62470308356849
2019-11-04 06:00:00+00:00,-59.2474,8.589,,Point,-4.82,1005.0,ISVP6,445.03507256756205,445.5977480157323,629.7726326634933,3600.0,0.1749368424065259,0.12362085349098946,0.1237771522265923,24.618230958640574,13.813658380226435,28.22896479466736
2019-11-04 07:00:00+00:00,-59.243,8.5948,,Point,-4.27,1005.4,ISVP6,330.9622809803015,490.15720414968104,591.4305675322473,3600.0,0.16428626875895758,0.09193396693897264,0.13615477893046696,24.947988986868573,14.303815584376402,28.7576302007096
2019-11-04 08:00:00+00:00,-59.2388,8.5988,,Point,-3.84,1005.8,ISVP6,228.27925591983768,467.87701978558204,520.5961240028134,3600.0,0.14461003444522597,0.06341090442217713,0.12996583882932836,25.17540828914619,14.771692604161915,29.18910901204527
2019-11-04 09:00:00+00:00,-59.236,8.6014,,Point,-2.92,1006.2,ISVP6,148.3997611970937,311.91784417550514,345.420368013308,3600.0,0.09595010222591889,0.041222155888081584,0.08664384560430698,25.323230823459287,15.083610448337224,29.475096666429888
2019-11-04 10:00:00+00:00,-59.2342,8.6028,,Point,-1.68,1006.1,ISVP6,79.91411291194507,200.51854270745847,215.8563212232293,3600.0,0.0599600892286748,0.02219836469776252,0.05569959519651624,25.40282756871025,15.284128991044915,29.64638675286628
2019-11-04 11:00:00+00:00,-59.2342,8.604,,Point,-0.08,1006.2,ISVP6,68.50141971571611,0.0,68.50141971571611,3600.0,0.019028172143254474,0.019028172143254474,0.0,25.47105334811962,15.284128991044915,29.704867575494347
2019-11-04 12:00:00+00:00,-59.2362,8.6058,,Point,0.01,1006.4,ISVP6,102.75212957199916,-222.79838423574714,245.35101416061138,3600.0,0.06815305948905871,0.028542258214444213,-0.061888440065485315,25.5733920133542,15.061330606808953,29.678983451531636
2019-11-04 13:00:00+00:00,-59.2404,8.6096,,Point,-0.01,1005.8,ISVP6,216.90846529848866,-467.87683145550096,515.7111708417658,3600.0,0.1432531030116016,0.060252351471802405,-0.12996578651541693,25.789440291261105,14.593453775352966,29.63214679414715
