time,latitude (deg),longitude (deg),Altitude,temperature (degC),Battery Voltage,Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2019-11-18 12:00:06+00:00,-59.39705,14.259,45,-1,6.4 V,Trident_U4,-111.72572664850003,174.5301602302409,0.014394827010657424,-0.007760886819151155,0.012123517659783336
2019-11-18 16:00:11+00:00,-59.36101667,14.26471667,8166,-3,6.5 V,Trident_U4,324.77669703405104,4014.173121979425,0.2795758504442936,0.022546108784036865,0.2786652635876033
2019-11-18 20:00:10+00:00,-59.32501667,14.21675,1,-4,6.4 V,Trident_U4,-2727.9847688588684,4010.437793621672,0.3368505122363798,-0.18945654343071522,0.27852196636028004
2019-11-19 00:00:28+00:00,-59.33006667,14.1806,8166,-4,6.5 V,Trident_U4,-2058.1178230478254,-562.5739563266052,0.14798314376336547,-0.1427464158030119,-0.03901886227816654
2019-11-19 04:00:28+00:00,-59.33413333,14.18233333,8,-3,6.4 V,Trident_U4,98.66855438562145,-453.0294291069257,0.032197903543251284,0.006851982943445934,-0.03146037702131429
2019-11-19 08:00:28+00:00,-59.31246667,14.15815,6,1,6.4 V,Trident_U4,-1376.454060439667,2413.6813157616557,0.19295665025615377,-0.09558708753053244,0.16761675803900386
2019-11-19 12:00:05+00:00,-59.29951667,14.10321667,17,0,6.4 V,Trident_U4,-3128.6566347741486,1442.635339375468,0.23963563398364868,-0.21761540201531257,0.1003432801958314
2019-11-19 16:00:29+00:00,-59.30026667,14.08563333,8165,-2,6.5 V,Trident_U4,-1001.817075819614,-83.55023042271307,0.06969599476844877,-0.0694548721450093,-0.005792445259478167
2019-11-19 20:00:28+00:00,-59.27873333,14.09006667,3,-4,6.4 V,Trident_U4,252.5855716309526,2398.816836382937,0.16751707005664287,0.017541882882905244,0.16659607169823853
2019-11-20 00:00:28+00:00,-59.25106667,14.04583333,8162,-4,6.5 V,Trident_U4,-2521.7470532314032,3082.057740891336,0.27654490395886977,-0.17512132314106968,0.21403178756189833
2019-11-20 04:00:28+00:00,-59.24855,14.00403333,10,-4,6.3 V,Trident_U4,-2384.9547867636247,280.3556388444344,0.16676225006740403,-0.16562186019191838,0.019469141586419055
2019-11-20 08:00:28+00:00,-59.23258333,13.99645,3,-3,6.4 V,Trident_U4,-432.70891005663094,1778.6756166137914,0.1271217297410309,-0.030049229865043815,0.1235191400426244
2019-11-20 11:59:52+00:00,-59.19098333,13.97006667,8169,-1,6.5 V,Trident_U4,-1506.1508831057167,4634.189585840307,0.33923715107506897,-0.10485595120479788,0.3226252844500353
2019-11-20 16:00:30+00:00,-59.16976667,13.89845,7902,-1,6.5 V,Trident_U4,-4093.3723326834547,2363.4987103851286,0.32738009317644695,-0.28351380611465954,0.16369986912211723
2019-11-20 20:00:28+00:00,-59.16843333,13.89708333,8162,-3,6.5 V,Trident_U4,-78.16276239360164,148.53147777061793,0.01165733014036816,-0.005428723600055677,0.010316118750563824
2019-11-21 00:00:28+00:00,-59.14346667,13.9273,8163,-4,6.5 V,Trident_U4,1728.2228362327642,2781.2316018821284,0.22739215531399112,0.1200154747383864,0.1931410834640367
2019-11-21 04:00:10+00:00,-59.10841667,13.90468333,9,-5,6.3 V,Trident_U4,-1294.4883489679269,3904.475565505158,0.28601510785589823,-0.09000753365094749,0.271483490856985
2019-11-21 08:00:05+00:00,-59.10535,13.8961,7942,2,6.5 V,Trident_U4,-491.7777496223997,341.6177652992664,0.04159700044217035,-0.03416309479836052,0.023731696095815658
2019-11-21 12:00:04+00:00,-59.08563333,13.94858333,20,6,6.5 V,Trident_U4,3007.275514631599,2196.373536936206,0.2586252179201785,0.20885308109115905,0.15253653287979763
2019-11-21 16:00:29+00:00,-59.04456667,13.98451667,8165,-1,6.5 V,Trident_U4,2060.1491003291703,4574.672072142065,0.34780966799098345,0.14281796189456986,0.3171349790046492
2019-11-21 20:00:28+00:00,-59.02345,13.991,8163,-3,6.5 V,Trident_U4,372.14969571032844,2352.3065639147985,0.16539779437562008,0.02584552369680731,0.1633659673529272
2019-11-22 00:00:28+00:00,-59.01573333,14.04345,8165,-4,6.5 V,Trident_U4,3012.5293915556213,859.60204986387,0.2175534849263748,0.20920342996914038,0.05969458679610208
2019-11-22 04:00:14+00:00,-58.99241667,14.12353333,15,-4,6.4 V,Trident_U4,4600.713154349693,2597.36393781091,0.36725026693133983,0.31980489047335553,0.18054802848678647
2019-11-22 08:00:28+00:00,-58.96365,14.1469,3,0,6.4 V,Trident_U4,1343.3016393990401,3204.455896887603,0.2410588201768303,0.09319423056743723,0.22231551941776073
2019-11-22 11:59:58+00:00,-58.96981667,14.1842,56,2,6.4 V,Trident_U4,2146.087758465085,-686.9334304293255,0.1568090776490449,0.1493450075480226,-0.04780330065618132
2019-11-22 16:00:11+00:00,-58.9629,14.2723,8164,0,6.5 V,Trident_U4,5068.004321902079,770.4792980649247,0.3556675942978658,0.3516273032610892,0.05345724679559597
2019-11-22 20:00:28+00:00,-58.9309,14.31143333,1,-4,6.4 V,Trident_U4,2251.618875684397,3564.6146006700883,0.2924457788823507,0.15617804506377173,0.24725078731151337
2019-11-23 00:00:28+00:00,-58.93558333,14.30273333,8164,-4,6.5 V,Trident_U4,-501.03659528782055,-521.6947188159761,0.05023109449587889,-0.03479420800609865,-0.03622879991777612
2019-11-23 04:00:10+00:00,-58.95753333,14.3601,8,-5,6.4 V,Trident_U4,3303.3227140707863,-2445.102697761204,0.2857600802409011,0.22968451634479115,-0.17001131259638466
2019-11-23 08:00:10+00:00,-58.943,14.4171,8163,-3,6.5 V,Trident_U4,3280.125025850926,1618.9296083668544,0.2540200820289205,0.2277864601285365,0.11242566724769822
2019-11-23 12:00:06+00:00,-58.93541667,14.39793333,5366,3,6.5 V,Trident_U4,-1103.4302099256556,844.738014866679,0.09653062158538246,-0.07664838913070683,0.05867866177178932
2019-11-23 16:00:29+00:00,-58.97273333,14.4123,8167,-1,6.5 V,Trident_U4,827.2743990210924,-4156.864363563005,0.29386290158697503,0.057357997574782806,-0.28821079966463325
2019-11-23 20:00:28+00:00,-58.9803,14.47913333,1,-4,6.4 V,Trident_U4,3844.3019842705667,-842.887083639516,0.2733260277393234,0.2669839561268537,-0.05853789038402084
2019-11-24 00:00:29+00:00,-58.95553333,14.48621667,8167,-4,6.5 V,Trident_U4,407.34961181695445,2758.872570586285,0.19365204982908332,0.028286203167624084,0.19157506913313554
2019-11-24 04:00:10+00:00,-58.95525,14.4213,0,-4,6.4 V,Trident_U4,-3735.91437335046,31.561362181879563,0.25979053526708995,-0.25978126509633964,0.002194656990604239
2019-11-24 08:00:10+00:00,-58.96626667,14.40861667,8164,-2,6.5 V,Trident_U4,-729.9238427098156,-1227.195857500549,0.09915729241073044,-0.050689155743737196,-0.08522193454864924
2019-11-24 12:00:28+00:00,-58.9449,14.4049,5,0,6.4 V,Trident_U4,-213.8256242067339,2380.1264623206757,0.1657450399235708,-0.014830463601521284,0.16508020962135356
2019-11-24 16:00:28+00:00,-58.925,14.33601667,8166,-3,6.5 V,Trident_U4,-3965.413200302437,2216.7405810303294,0.3154829900908269,-0.27537591668766925,0.1539403181271062
2019-11-24 20:00:28+00:00,-58.91931667,14.29848333,6,-5,6.4 V,Trident_U4,-2161.929295397837,633.0875956229901,0.1564387468326392,-0.15013397884707202,0.04396441636270765
2019-11-25 00:00:28+00:00,-58.88881667,14.30075,8166,-4,6.5 V,Trident_U4,130.5821825002283,3397.5006295500057,0.2361117466717264,0.00906820711807141,0.2359375437187504
