time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-11-24 21:00:00+00:00,-58.2734,5.1316,,Point,-3.73,989.4,ISVP4,-516.0651805868793,2539.524589478443,2591.4298005502333,3600.0,0.7198416112639537,-0.1433514390519109,0.7054234970773453
2019-11-24 22:00:00+00:00,-58.2536,5.1176,,Point,-3.8,989.5,ISVP4,-821.5406476700873,2205.3692167721324,2353.419303494453,3600.0,0.6537275843040147,-0.22820573546391315,0.6126025602144812
2019-11-24 23:00:00+00:00,-58.2376,5.1026,,Point,-3.88,989.5,ISVP4,-880.7131568646283,1782.1115115670673,1987.8574154939577,3600.0,0.5521826154149883,-0.24464254357350787,0.49503097543529645
2019-11-25 00:00:00+00:00,-58.2244,5.0918,,Point,-3.96,989.5,ISVP4,-634.399110406222,1470.2386132404224,1601.2694373987551,3600.0,0.4447970659440986,-0.17622197511283944,0.4083996147890062
2019-11-25 01:00:00+00:00,-58.2108,5.0828,,Point,-4.11,989.5,ISVP4,-528.8622694051089,1514.7880979174217,1604.4557586897192,3600.0,0.44568215519158866,-0.14690618594586358,0.4207744716437283
2019-11-25 02:00:00+00:00,-58.198,5.0752,,Point,-4.24,989.7,ISVP4,-446.7656060622409,1425.6799476728388,1494.0424424883618,3600.0,0.4150117895801005,-0.12410155723951137,0.39602220768689966
2019-11-25 03:00:00+00:00,-58.188,5.0704,,Point,-4.28,989.7,ISVP4,-282.26926516495257,1113.8104561380499,1149.0211792039402,3600.0,0.31917254977887227,-0.07840812921248683,0.3093917933716805
2019-11-25 04:00:00+00:00,-58.1772,5.071,,Point,-4.45,990.0,ISVP4,35.293570376743745,1202.9133187882705,1203.4309654600672,3600.0,0.33428637929446314,0.009803769549095485,0.3341425885522974
2019-11-25 05:00:00+00:00,-58.1668,5.0754,,Point,-4.23,990.3,ISVP4,258.89801189655094,1158.3590360163494,1186.938851367126,3600.0,0.32970523649086836,0.0719161144157086,0.3217663988934304
2019-11-25 06:00:00+00:00,-58.1552,5.0838,,Point,-3.92,990.7,ISVP4,494.4041293461088,1292.013604687648,1383.377966360768,3600.0,0.3842716573224355,0.1373344803739191,0.3588926679687911
2019-11-25 07:00:00+00:00,-58.1412,5.0954,,Point,-3.59,991.1,ISVP4,682.970779155723,1559.3236133447108,1702.333462138068,3600.0,0.4728704061494633,0.18971410532103417,0.43314544815130857
2019-11-25 08:00:00+00:00,-58.1254,5.1056,,Point,-2.63,991.5,ISVP4,600.7790662807241,1759.8039374764342,1859.528269437897,3600.0,0.5165356303994159,0.1668830739668678,0.48883442707678726
2019-11-25 09:00:00+00:00,-58.108,5.115,,Point,-2.61,991.8,ISVP4,553.9043391728123,1938.006849825203,2015.609229717873,3600.0,0.5598914526994091,0.15386231643689233,0.5383352360625564
2019-11-25 10:00:00+00:00,-58.0882,5.1234,,Point,-2.57,991.9,ISVP4,495.21960495182617,2205.31165867865,2260.23051236652,3600.0,0.6278418089907001,0.13756100137550728,0.6125865718551805
2019-11-25 11:00:00+00:00,-58.0688,5.1282,,Point,-2.19,992.2,ISVP4,283.1394772972278,2160.753214619797,2179.225187559545,3600.0,0.6053403298776513,0.07864985480478551,0.6002092262832769
